Experiment,Train_Loss,Val_Loss,Test_Loss
기술 지표만,5.722002877202226,8.26473252664252,4.06869710382165
감성 지수만,6.393732873584179,7.7528539577635325,2.435656643131884
전체 결합,5.982626668845049,5.708305991713593,3.459335925375543
