Date,Open,High,Low,Close,Volume,RSI,SMA_5,SMA_20,EMA,MACD,Signal,Stochastic RSI_fastk,Stochastic RSI_fastd,Stochastic Oscillator Index_slowk,Stochastic Oscillator Index_slowd,WilliamR,Momentum,ROC
2022-03-14,69500,69800,68300,68800,1627411,29.79630524488738,70040.0,74805.0,71711.07144641425,-2942.1435194642545,-2569.091274639476,18.172762822142957,38.78567077413201,10.64254088960295,10.517359550629914,-95.32710280373831,-4600.0,-6.267029972752047
2022-03-15,68400,69900,68100,69200,1136058,31.55643559422186,69660.0,74315.0,71254.51300161166,-2965.2406646236195,-2648.3211526363048,57.10547746511376,40.138851163029166,8.782766676887562,10.210476059517225,-89.2156862745098,-4600.0,-6.233062330623307
2022-03-16,70400,72100,69800,72100,1661437,42.761099519595064,70160.0,74070.0,71408.23791040955,-2718.2057707784115,-2662.298076264726,100.00000000000001,58.42608009575224,18.224299065420535,12.549868877303675,-60.78431372549019,-1700.0,-2.303523035230348
2022-03-17,72900,73300,72200,72400,1553721,43.7863174499492,70500.0,73810.0,71588.55829033509,-2469.7515859050472,-2623.7887781927902,100.0,85.70182582170459,31.91489361702125,19.64065311977644,-54.255319148936174,300.0,0.4160887656033285
2022-03-18,72500,72600,71700,72000,1414173,42.688428293730816,70900.0,73435.0,71663.36587391053,-2278.857263444108,-2554.802475243054,92.1523359656459,97.38411198854864,47.43776943401471,32.52565403881883,-42.64705882352941,-1800.0,-2.4390243902439046
2022-03-21,72000,72200,70400,70500,1346882,38.76327610672256,71240.0,72985.0,71451.8448059268,-2222.984420906956,-2488.4388643758343,58.92812864030802,83.69348820198465,47.48062810753876,42.277763719524906,-60.65573770491803,-2600.0,-3.5567715458276306
2022-03-22,70200,71400,70200,71300,1225597,41.835062496857006,71660.0,72615.0,71424.23665939465,-2090.058582213678,-2408.762807943403,61.1539141376294,70.74479291452779,49.71873995499836,48.21237916551727,-47.540983606557376,200.0,0.2812939521800173
2022-03-23,71300,72900,71300,71800,1537880,43.73475783385639,71600.0,72260.0,71492.55726677744,-1922.2100352920097,-2311.4522534131243,98.97353789129497,73.01852688974414,50.81967213114751,49.33968006456154,-39.34426229508197,2200.0,3.1609195402298784
2022-03-24,71000,72100,70900,72100,950805,44.89762194358523,71540.0,71980.0,71603.00140009064,-1744.867612087939,-2198.1353251480873,100.0,86.70915067630813,61.09673089828394,53.87838099480993,-29.82456140350877,1400.0,1.980198019801982
2022-03-25,72400,72400,71500,71600,800304,43.29169138859284,71460.0,71660.0,71602.45569098325,-1625.9256268187892,-2083.6933854822278,73.82067138533353,90.93140309220951,66.04628953636717,59.320897521932864,-32.69230769230769,1600.0,2.285714285714291
2022-03-28,71000,71700,70600,71400,914926,42.634772056521655,71640.0,71560.0,71565.64556534993,-1530.1628107040015,-1972.9872705265825,26.112458340000238,66.64437657511127,66.98155645524064,64.70819229663057,-36.53846153846154,2600.0,3.779069767441867
