Date,Open,High,Low,Close,Volume,RSI,SMA_5,SMA_20,EMA,MACD,Signal,Stochastic RSI_fastk,Stochastic RSI_fastd,Stochastic Oscillator Index_slowk,Stochastic Oscillator Index_slowd,WilliamR,Momentum,ROC
2022-01-03,79400,79800,78200,78600,13502112,,,,,,,,,,,,,
2022-01-04,78800,79200,78300,78700,12427416,,,,,,,,,,,,,
2022-01-05,78800,79000,76400,77400,25470640,,,,,,,,,,,,,
2022-01-06,76700,77600,76600,76900,12931954,,,,,,,,,,,,,
2022-01-07,78100,78400,77400,78300,15163757,,77980.0,,,,,,,,,,,
2022-01-10,78100,78100,77100,78000,9947422,,77860.0,,,,,,,,,,,
2022-01-11,78400,79000,78000,78900,13221123,,77900.0,,,,,,,,,,,
2022-01-12,79500,79600,78600,78900,11000502,,78200.0,,,,,,,,,,,
2022-01-13,79300,79300,77900,77900,13889401,,78400.0,,,,,,,,,,,
2022-01-14,77700,78100,77100,77300,10096725,,78200.0,,78090.0,,,,,,,,,
2022-01-17,77600,77800,76900,77500,8785122,,78100.0,,77982.72727272728,,,,,,,,-1100.0,-1.3994910941475869
2022-01-18,77600,77800,76600,77000,9592788,,77720.0,,77804.04958677686,,,,,,,,-1700.0,-2.1601016518424387
2022-01-19,76500,76900,76100,76300,10598290,,77200.0,,77530.5860255447,,,,,,,,-1100.0,-1.421188630490955
2022-01-20,76200,76700,75900,76500,9708168,,76920.0,,77343.20674817295,,,,,,,-84.61538461538461,-400.0,-0.5201560468140465
2022-01-21,75800,75800,74700,75600,15774888,32.55813953488372,76580.0,,77026.26006668695,,,,,,,-81.63265306122449,-2700.0,-3.4482758620689613
2022-01-24,75400,75800,74700,75100,13691134,30.639730639730644,76100.0,,76676.03096365296,,,,,,,-91.83673469387755,-2900.0,-3.717948717948716
2022-01-25,74800,75000,73200,74000,17766704,26.886363636363637,75500.0,,76189.47987935242,,,,,,,-87.5,-4900.0,-6.210392902408113
2022-01-26,73900,74400,73100,73300,12976730,24.80403857940066,74900.0,,75664.11990128834,,,,,7.913396127681842,11.631780917495204,-96.92307692307692,-5600.0,-7.097591888466415
2022-01-27,73800,74000,71300,71300,22274777,20.030638028425837,73860.0,,74870.64355559956,,,,,5.192307692307692,8.705302633874062,-100.0,-6600.0,-8.472400513478817
2022-01-28,71300,73700,71200,73300,21367447,33.75895608017569,73400.0,76540.0,74585.072000036,,,,,9.358974358974358,7.4882260596546315,-75.0,-4000.0,-5.174644243208282
2022-02-03,74900,74900,73300,73300,17744721,33.75895608017569,73040.0,76275.0,74351.422545484,,,100.0,66.66666666666667,16.666666666666668,10.405982905982906,-75.0,-4200.0,-5.419354838709678
2022-02-04,74300,74600,73400,74000,12730034,38.0741757439966,73040.0,76040.0,74287.52753721419,,,100.0,100.0,28.189300411522634,18.07164714572122,-65.4320987654321,-3000.0,-3.8961038961038974
2022-02-07,73500,73600,72400,73000,14240838,34.6059078878087,72980.0,75820.0,74053.43162135707,,,80.77833786888178,93.59277928962725,28.55161925210234,24.46919544343055,-73.91304347826087,-3300.0,-4.3250327653997385
2022-02-08,73800,74200,73000,73500,11736666,37.66349780813525,73420.0,75650.0,73952.80769020124,,,90.4830352136068,90.42045769416285,31.83444753493062,29.525122399518533,-65.15151515151516,-3000.0,-3.9215686274509776
2022-02-09,74300,74700,74000,74700,9699122,44.38447870083355,73700.0,75470.0,74088.66083743738,,,100.0,90.42045769416285,37.988581466842334,32.79154941795843,-46.96969696969697,-900.0,-1.1904761904761862
2022-02-10,75600,75800,74700,75400,17746033,47.91245453002325,74120.0,75340.0,74327.08613972149,,,100.00000000000001,96.8276784045356,53.85433280170122,41.22578726782472,-26.31578947368421,300.0,0.3994673768308976
2022-02-11,75000,75500,74600,74900,12205407,45.68328272962182,74300.0,75140.0,74431.25229613576,,,83.24755580588088,94.41585193529363,64.66241360978204,52.168442626108536,-32.72727272727273,900.0,1.216216216216215
2022-02-14,74400,74500,73100,73700,13993255,40.77948264101336,74440.0,74880.0,74298.29733320199,,,30.402946538192666,71.2168341146912,65.10158796199987,61.20611145782772,-45.65217391304348,400.0,0.5457025920873049
2022-02-15,74100,74200,73100,73700,9320365,40.77948264101335,74480.0,74670.0,74189.51599989254,,,0.0,37.88350078135785,58.65612648221344,62.80670935133179,-45.65217391304348,2400.0,3.3660589060308554
2022-02-16,74600,74900,74200,74800,10767386,46.84540782278997,74500.0,74545.0,74300.51309082117,,,85.04064331338074,38.48119661719114,62.31884057971015,62.02551834130782,-21.73913043478261,1500.0,2.046384720327432
2022-02-17,75000,75600,74500,75000,13605382,47.89052159825116,74420.0,74420.0,74427.69252885369,,,100.0,61.68021443779359,71.73913043478261,64.23803249890207,-17.391304347826086,1700.0,2.3192360163710735
2022-02-18,74600,74800,73700,74300,10122226,44.5862449081618,74300.0,74285.0,74404.47570542575,,,53.533137563166115,79.52459362551564,76.08695652173913,70.04830917874396,-32.608695652173914,300.0,0.40540540540541237
2022-02-21,73200,74300,72600,74200,10489717,44.11794000100455,74400.0,74180.0,74367.29830443925,,,46.94753298451871,66.82689018256163,71.73913043478261,73.18840579710145,-34.78260869565217,1200.0,1.6438356164383494
2022-02-22,73000,73400,72800,73400,11692469,40.45697258979145,74340.0,74025.0,74191.4258854503,-1057.7179359509464,-1471.354200184245,0.0,33.49355684922829,54.006820119352085,67.27763569195794,-70.58823529411765,-100.0,-0.1360544217687054
2022-02-23,73800,73800,72800,73000,10397964,38.726580671966865,73980.0,73895.0,73974.8029971866,-1066.81960450107,-1390.44728104761,0.0,15.64917766150625,37.425404944586525,54.390451832907075,-82.3529411764706,-1700.0,-2.2757697456492587
2022-02-24,72300,72300,71300,71500,15759283,33.022597014262814,73280.0,73715.0,73524.83881587995,-1181.4511726870696,-1348.6480593755018,0.0,1.4210854715202004e-14,17.1677559912854,36.19999368507467,-95.55555555555556,-3900.0,-5.1724137931034475
2022-02-25,72100,72600,71900,71900,13168484,35.74065567300306,72800.0,73610.0,73229.41357662906,-1225.8895674460364,-1324.0963609896087,24.49729280102619,8.165764267008745,11.808278867102393,22.13381326765811,-86.66666666666667,-3000.0,-4.005340453938588
2022-02-28,71100,72100,71000,72100,17781783,37.11480404393206,72380.0,73550.0,73024.06565360559,-1230.7813061609486,-1305.4333500238768,55.04439462460522,26.51389580854382,13.56481481481481,14.180283224400869,-77.08333333333333,-1600.0,-2.170963364993217
2022-03-02,72300,72400,71500,71700,12481430,35.48061190295209,72040.0,73570.0,72783.32644385911,-1252.4966991010006,-1294.8460198393016,43.092951105660596,40.87821284376401,16.94444444444444,14.105846042120548,-85.41666666666667,-2000.0,-2.7137042062415184
