Date,Open,High,Low,Close,Volume,RSI,SMA_5,SMA_20,EMA,MACD,Signal,Stochastic RSI_fastk,Stochastic RSI_fastd,Stochastic Oscillator Index_slowk,Stochastic Oscillator Index_slowd,WilliamR,Momentum,ROC
2022-02-07,123000,123500,119500,123000,4804261,47.10845835672313,121100.0,123775.0,121971.18894539398,,,89.80992651935779,96.60330883978592,68.71345029239767,58.576998050682256,-33.333333333333336,-4000.0,-3.149606299212604
2022-02-08,124500,126000,123500,125000,4054097,50.8753061998528,123400.0,123775.0,122521.88186441326,,,100.0,96.60330883978592,72.57309941520468,68.14814814814815,-20.0,0.0,0.0
2022-02-09,127000,128000,124500,126000,4339337,52.68958206938736,124500.0,123725.0,123154.26697997448,,,100.0,96.60330883978592,77.46031746031746,72.91562238930659,-14.285714285714286,7000.0,5.882352941176472
2022-02-10,129000,131000,127000,129500,7269729,58.47068805591643,125600.0,123975.0,124308.03661997912,,,100.0,100.0,86.07142857142856,78.70161514898355,-7.5,10500.0,8.823529411764696
2022-02-11,130500,132500,130000,132000,6057207,62.038892043114544,127100.0,124175.0,125706.57541634655,,,100.00000000000001,100.0,91.96290143964562,85.16488249046387,-2.3255813953488373,14000.0,11.864406779661007
2022-02-14,130000,132500,129500,132500,4962205,62.72863132193181,129000.0,124375.0,126941.74352246536,,,100.0,100.0,96.72480620155038,91.58637873754151,-0.0,15000.0,12.765957446808507
2022-02-15,131500,132000,127000,127000,5097120,51.618297164154505,129400.0,124250.0,126952.33560928985,,,0.0,66.66666666666667,90.69767441860465,93.1284606866002,-25.58139534883721,13500.0,11.894273127753308
2022-02-16,131000,132500,130000,130500,3499809,56.85525690111704,130300.0,124350.0,127597.36549850987,,,47.13593365053407,49.04531121684469,88.3720930232558,91.93152454780359,-9.30232558139535,10000.0,8.298755186721984
2022-02-17,130500,134000,130000,133000,5433402,60.17151638408286,131000.0,124650.0,128579.66268059898,,,76.98435617205128,41.37342994086178,86.92281766093697,88.66419503426579,-4.3478260869565215,9000.0,7.258064516129026
2022-02-18,131500,133000,129500,131500,3108887,57.32445715552916,130900.0,124900.0,129110.63310230826,,,51.359031243721034,58.49310702210213,91.82676103808559,89.04055724075943,-10.869565217391305,7000.0,5.622489959839361
2022-02-21,129000,130500,127000,130000,4048108,54.54509017805486,130400.0,125050.0,129272.33617461585,,,34.21861335064525,54.18733358880586,88.0899293942772,88.94650269776656,-20.512820512820515,7000.0,5.691056910569103
2022-02-22,127000,129500,126000,128500,3179806,51.83837827798473,130700.0,125225.0,129131.91141559479,789.8608798482455,-468.3322279885033,0.0,28.525881531455436,76.89552659567651,85.60407234267974,-37.93103448275862,3500.0,2.8000000000000025
2022-02-23,130000,130500,127000,128500,2752112,51.83837827798472,130300.0,125700.0,129017.01843094119,764.1205628218449,-221.84166982643364,0.0,11.40620445021509,67.87503684055407,77.62016427683591,-37.93103448275862,2500.0,1.984126984126977
2022-02-24,125500,126000,122000,122500,5748069,42.137982303761696,128200.0,125875.0,127832.10598895188,256.6132424983516,-126.15068736147659,0.0,7.105427357601002e-15,48.275862068965516,64.34880850173202,-79.3103448275862,-7000.0,-5.405405405405405
2022-02-25,125500,126000,122500,123000,3309625,43.09363986756878,126500.0,126125.0,126953.5412636879,-104.0447804616415,-121.72950598150956,7.702500643096331,2.567500214365451,30.363984674329497,48.83829452794968,-91.66666666666667,-9000.0,-6.818181818181824
2022-02-28,123000,123500,121000,123500,3224264,44.08812313893725,125200.0,126425.0,126325.6246702901,-345.5398721771635,-166.49157922064035,20.103724016603888,9.268741553233413,16.084585912172113,31.574810885155696,-80.76923076923077,-9000.0,-6.792452830188678
2022-03-02,124500,126500,123000,125000,2903340,47.076212160866646,124500.0,127000.0,126084.60200296463,-411.149532385316,-215.42316985357547,50.907508005109975,26.23791088827007,19.44444444444444,21.964338343648667,-69.23076923076923,-2000.0,-1.5748031496062964
2022-03-03,128000,129500,127000,129000,3088097,54.11803206438469,124600.0,127425.0,126614.67436606197,-138.77932847563352,-200.09440157798707,100.0,57.00374400723796,37.179487179487175,24.236172512034557,-38.46153846153846,-1500.0,-1.1494252873563204
2022-03-04,127500,128000,124000,124500,3249773,46.60517177428108,125000.0,127450.0,126230.18811768707,-282.7766977375577,-216.6308608099012,31.85238554671983,60.91996451727661,39.74358974358974,32.122507122507095,-73.07692307692308,-8500.0,-6.3909774436090245
